,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces,rating
42,42,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,4.281024347887429
43,43,0.045,18.0,2544,Send Help,American Blonde Ale,60,12.0,0.239156643260533
44,44,0.055,,2324,Cast Iron Oatmeal Brown,American Brown Ale,60,12.0,2.0645368880320363
45,45,0.06,,2288,Reprise Centennial Red,American Amber / Red Ale,60,12.0,2.529575893930904
46,46,0.055,,2287,Alter Ego,American Black Ale,60,12.0,4.361136187971599
47,47,0.065,,2286,Divided Sky,American IPA,60,12.0,3.956622704117641
48,48,0.065,,2285,Resurrected,American IPA,60,12.0,0.6833068024032835
49,49,0.05,28.0,1870,Contact High,American Pale Wheat Ale,60,12.0,1.1095569074095124
50,50,0.065,,2603,Galaxyfest,American IPA,27,16.0,3.390340831565622
51,51,0.05,45.0,2602,Citrafest,American IPA,27,16.0,0.12620841198839106
52,52,0.09,,2220,Barn Yeti,Belgian Strong Dark Ale,27,16.0,1.6146123021088927
53,53,0.069,65.0,2219,Scarecrow,American IPA,27,16.0,3.2497766480460073
54,54,0.09,50.0,2218,Ironman,English Strong Ale,27,16.0,0.26570273209858164
55,55,0.046,15.0,2217,Honey Kolsch,Kölsch,27,16.0,1.7558835909166621
56,56,0.052,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,1.6794173036219289
57,57,0.059,75.0,972,Rude Parrot IPA,American IPA,481,16.0,4.493289779614055
58,58,0.054,30.0,866,British Pale Ale (2010),English Pale Ale,481,16.0,0.847832457626721
59,59,0.054,30.0,48,British Pale Ale,English Pale Ale,481,16.0,2.298789599461716
60,60,0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,1.725378888454323
61,61,0.038,,1583,Wolfman's Berliner,Berliner Weissbier,373,12.0,2.890027730535432
62,62,0.055,26.0,1165,Colorado Native,American Amber / Red Lager,462,12.0,0.8229459794140187
63,63,0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,2.263029048103529
64,64,0.065,52.0,516,Jockamo IPA,American IPA,533,12.0,0.2790087355910187
65,65,0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,3.1352725554169183
66,66,0.045,17.0,514,Abita Amber,American Amber / Red Lager,533,12.0,3.7855710935767597
67,67,0.0819999999999999,68.0,2540,Citra Ass Down,American IPA,62,16.0,1.8237082464561998
68,68,0.05,20.0,2539,The Brown Note,American Brown Ale,62,16.0,0.6584354970399953
69,69,0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0,1.3567933003806365
70,70,0.125,80.0,2685,London Balling,English Barleywine,1,16.0,4.29957779914856
71,71,0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0,4.7176755844724365
72,72,0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0,2.9907054450584827
73,73,0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0,0.6254731540317887
74,74,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,3.6909797561265356
75,75,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,2.9112964916506163
76,76,0.055,17.0,2679,Bloody Show,American Pilsner,1,16.0,0.07761859798927406
77,77,0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0,2.4126732308617442
78,78,0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0,1.2117899441052167
79,79,0.065,,2676,Kamen Knuddeln,American Wild Ale,1,16.0,4.643878466516723
80,80,0.06,65.0,2675,Pile of Face,American IPA,1,16.0,0.33767775293511604
81,81,0.05,20.0,2674,The Brown Note,English Brown Ale,1,16.0,2.8508203812760984
82,82,0.053,35.0,1594,Maylani's Coconut Stout,American Stout,367,16.0,4.858872863231744
83,83,0.05,35.0,1162,Oatmeal PSA,American Pale Ale (APA),367,16.0,4.810834630825211
84,84,0.052,33.0,1137,Pre Flight Pilsner,American Pilsner,367,16.0,4.984126699283255
85,85,0.04,20.0,2403,P-Town Pilsner,American Pilsner,117,12.0,4.598396373142839
86,86,0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,1.0149114476158672
87,87,0.0819999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,0.8423506216321697
88,88,0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0,3.956820680180221
89,89,0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0,1.7675604293299696
90,90,0.057,,2501,Hopalicious,American Pale Ale (APA),73,12.0,4.996687885575925
91,91,0.043,,1535,Kentucky Kölsch,Kölsch,388,16.0,4.928336351154709
92,92,0.065,,1149,Kentucky IPA,American IPA,388,16.0,3.2460046330312027
93,93,0.054,,1474,Dusty Trail Pale Ale,American Pale Ale (APA),401,16.0,1.9306361157802892
94,94,0.062,,1473,Damnesia,American IPA,401,16.0,3.1080828564995304
95,95,0.062,43.0,837,Desolation IPA,American IPA,401,16.0,1.8934512151868104
96,96,0.059,,2592,Liberty Ale,American IPA,35,12.0,1.781498777219615
97,97,0.065,,2578,IPA,American IPA,35,12.0,0.6520707349193705
98,98,0.045,,2577,Summer Wheat,American Pale Wheat Ale,35,12.0,3.1613484709147825
99,99,0.049,,2103,California Lager,American Amber / Red Lager,35,12.0,0.30099343809457446
100,100,0.0559999999999999,,2102,Brotherhood Steam,California Common / Steam Beer,35,12.0,4.7250617316240024
101,101,0.042,,2291,Blood Orange Gose,Gose,171,12.0,2.772182432881139
102,102,0.042,,1818,Keebarlin' Pale Ale,American Pale Ale (APA),171,12.0,2.8743833392769416
103,103,0.048,,1738,"the Kimmie, the Yink and the Holy Gose",Gose,171,12.0,1.4478932811231364
104,104,0.06,,1563,Fall Hornin',Pumpkin Ale,171,12.0,4.288173123045117
105,105,0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,4.18443464225367
106,106,0.0559999999999999,4.0,1350,Summer Solstice,Cream Ale,171,12.0,4.474946575716113
107,107,0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,1.1789935553178261
108,108,0.0579999999999999,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,0.6224119467457923
109,109,0.057,13.0,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,2.4083075562441274
110,110,0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,2.3326556225957362
111,111,0.0579999999999999,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,3.6507081698985244
112,112,0.0559999999999999,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,1.8380161916341602
113,113,0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,2.7232670256585956
114,114,0.069,6.0,523,Winter Solstice,Winter Warmer,171,12.0,2.2991773602506935
115,115,0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0,4.202018341577995
116,116,0.0579999999999999,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,1.4162230130200237
117,117,0.0559999999999999,4.0,77,Summer Solstice (2011),Cream Ale,171,12.0,2.948950880154681
118,118,0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,3.159539990147212
119,119,0.06,,2337,Charlie's Rye IPA,American IPA,146,16.0,4.225258070905266
120,120,0.054,,410,River Pig Pale Ale,American Pale Ale (APA),542,16.0,2.8697042910148785
121,121,0.047,,409,Oaky's Oatmeal Stout,Oatmeal Stout,542,16.0,3.9187060235648756
122,122,0.05,,1294,Angry Orchard Apple Ginger,Cider,434,16.0,1.9235774056773447
123,123,0.05,,1293,Angry Orchard Crisp Apple,Cider,434,16.0,2.3550873876628087
124,124,0.05,,1292,Angry Orchard Crisp Apple,Cider,434,12.0,4.475548354996178
125,125,0.068,,2207,Golden One,Belgian Pale Ale,193,12.0,2.168223181128435
126,126,0.06,,2040,Arjuna,Witbier,193,12.0,1.5265434220581557
127,127,0.085,,2039,Uroboros,American Stout,193,12.0,0.9423780286237055
128,128,0.071,75.0,2511,Long Leaf,American IPA,69,16.0,1.6948439756269824
129,129,0.047,19.0,2510,Honey Badger Blonde,American Blonde Ale,69,16.0,2.338027803334225
130,130,0.06,23.0,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.0,3.5609122757817118
131,131,0.06,55.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,1.2494624096451068
132,132,0.062,17.0,390,Whitsun,American Pale Wheat Ale,541,12.0,4.060452609279963
133,133,0.052,,735,On-On Ale (2008),American Pale Ale (APA),513,12.0,2.727376386381341
134,134,0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,3.286993018806907
135,135,0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,0.34942342419162664
136,136,0.052,10.0,1172,Mo's Gose,Gose,461,16.0,2.788925629597796
137,137,0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,3.208654864530832
138,138,0.032,27.0,550,Rocket Girl,Kölsch,528,12.0,0.8786624331258697
139,139,0.053,26.0,429,Ninja Porter,American Porter,528,12.0,3.4424531082208616
140,140,0.06,69.0,428,Shiva IPA,American IPA,528,12.0,1.1177474248411112
141,141,0.048,,1640,Aslan Kölsch,Kölsch,353,16.0,0.9913955212589304
142,142,0.077,,1639,Aslan IPA,American IPA,353,16.0,1.053379789425994
143,143,0.077,,1638,Aslan Amber,American Amber / Red Ale,353,16.0,2.4434128054687094
144,144,0.0559999999999999,27.0,597,This Season's Blonde,American Blonde Ale,523,12.0,0.33138948983388095
145,145,0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0,0.2734276934847024
146,146,0.057,40.0,1580,Trolley Stop Stout,American Stout,374,12.0,3.4632598235114114
147,147,0.0819999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,3.5727566772464314
148,148,0.062,35.0,979,Poop Deck Porter,American Porter,374,12.0,3.590445546223189
149,149,0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,1.045701135506702
150,150,0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,4.5948384491865255
151,151,0.055,12.0,2502,Vanilla Java Porter,American Porter,72,16.0,3.324547641197064
152,152,0.052,,2495,Michelada,Fruit / Vegetable Beer,72,16.0,4.953960865244861
153,153,0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,0.5271837688305514
154,154,0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0,1.698497884204716
155,155,0.05,12.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,0.6079216320401637
156,156,0.07,,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413,16.0,1.2129070272811304
157,157,0.062,,343,Fire Eagle IPA,American IPA,413,12.0,3.0053086850860793
158,158,0.051,,342,Peacemaker,American Pale Ale (APA),413,12.0,0.16230359982897846
159,159,0.053,,341,Pearl-Snap,German Pilsener,413,12.0,1.775033065833775
160,160,0.052,,340,Black Thunder,Schwarzbier,413,12.0,2.4073763975760727
161,161,0.08,,2589,Raja,American Double / Imperial IPA,37,12.0,1.1208723395869824
162,162,0.064,,2546,Perzik Saison,Saison / Farmhouse Ale,37,12.0,1.5114420464576095
163,163,0.047,42.0,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.0,2.4671782935939053
164,164,0.0559999999999999,10.0,108,White Rascal,Witbier,37,12.0,4.190673169822324
165,165,0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0,4.25569639503837
166,166,0.055,17.0,106,Ellie’s Brown Ale,American Brown Ale,37,12.0,3.8362488478866705
167,167,0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,1.3149785520613788
168,168,0.072,22.0,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,0.01485578645284813
169,169,0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,360,12.0,0.5910655754266175
170,170,0.067,,705,Hog Wild India Pale Ale,American IPA,360,12.0,3.297494268695646
171,171,0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,360,12.0,2.1969014287142135
172,172,0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,360,12.0,2.099100699805188
173,173,0.086,,2058,Palate Mallet,American Double / Imperial IPA,235,12.0,1.8773691550128035
174,174,0.06,,1483,Back East Porter,American Porter,235,12.0,4.778989763040441
175,175,0.049,,1426,Back East Golden Ale,American Blonde Ale,235,12.0,0.4270990063615071
176,176,0.07,,1132,Misty Mountain IPA,American IPA,235,12.0,4.508816610459116
177,177,0.05,,1131,Back East Ale,American Amber / Red Ale,235,12.0,1.058995380691115
178,178,0.06,,1876,Truck Stop Honey Brown Ale,English Brown Ale,286,12.0,4.536230423583394
179,179,0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.0,3.8082667286611116
180,180,0.068,70.0,966,Topcutter India Pale Ale,American IPA,483,12.0,1.3395580040874417
181,181,0.044,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,3.6131520147208898
182,182,0.07,,2593,Grapefruit Sculpin,American IPA,34,12.0,2.4660347124757687
183,183,0.038,40.0,2105,Even Keel,American IPA,34,12.0,4.3459723298253845
184,184,0.052,23.0,1401,Ballast Point Pale Ale,Kölsch,34,12.0,4.7411628409960995
185,185,0.07,75.0,1400,Big Eye India Pale Ale,American IPA,34,12.0,3.182009999846845
186,186,0.046,,1019,Longfin Lager,Munich Helles Lager,34,12.0,2.587987651785868
187,187,0.07,70.0,1018,Sculpin IPA,American IPA,34,12.0,0.5383862397509481
188,188,0.045,,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),318,12.0,1.2016234434732627
189,189,0.045,20.0,1644,Banner American Rye,Rye Beer,318,12.0,1.7772487553838907
190,190,0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,318,12.0,2.0497019944102632
191,191,0.07,46.0,2618,Thai.p.a,American IPA,20,16.0,0.29590453554261875
192,192,0.06,60.0,2005,Barrio Blanco,American IPA,251,12.0,4.762985267579097
193,193,0.045,,1343,Barrio Tucson Blonde,American Blonde Ale,251,12.0,4.7663651366280835
194,194,0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,2.7936364220587584
195,195,0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,0.44960188084044006
196,196,0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,1.1115576465921801
197,197,0.05,20.0,2188,Lost Meridian Wit,Witbier,116,12.0,3.113505402830633
198,198,0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.0,0.664387156395449
199,199,0.054,55.0,1966,Wagon Party,California Common / Steam Beer,258,12.0,4.549940250861221
200,200,0.067,70.0,1965,Sky-Five,American IPA,258,12.0,4.735193825417123
201,201,0.05,28.0,1964,Stargrazer,Schwarzbier,258,12.0,2.4503639665694994
202,202,0.054,48.0,1963,Wonderstuff,German Pilsener,258,12.0,0.3964296063679207
203,203,0.053,,1855,Tarnation California-Style Lager,California Common / Steam Beer,292,12.0,4.090330042353887
204,204,0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,3.0407056717218865
205,205,0.047,,1209,Summer Swelter,American Pale Wheat Ale,292,12.0,2.117583418845878
206,206,0.068,,954,Phantom Punch Winter Stout,Foreign / Export Stout,292,12.0,3.26123780910713
207,207,0.066,,910,Hayride Autumn Ale,Rye Beer,292,12.0,2.9953840120060122
208,208,0.047,,707,Celsius Summer Ale (2012),American Pale Wheat Ale,292,12.0,4.255062353674277
209,209,0.055,35.0,533,Amber Road,American Amber / Red Ale,292,12.0,2.7491745939195393
210,210,0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,3.378881277319588
211,211,0.069,69.0,182,Stowaway IPA,American IPA,292,12.0,0.6512015892845824
212,212,0.088,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,1.7432167559261265
213,213,0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.0,1.9762933034743964
214,214,0.0579999999999999,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.0,1.4636822539813021
215,215,0.068,85.0,2420,Back Bay IPA,American IPA,103,12.0,4.137373704322563
216,216,0.048,16.0,2419,Bunker Hill Blueberry Ale ,Other,103,12.0,1.0148553764168473
217,217,0.0579999999999999,,2494,Oberon,American Pale Wheat Ale,76,12.0,3.9517097239914767
218,218,0.06,,2325,Smitten,Rye Beer,76,16.0,1.7115010028562234
219,219,0.05,,2022,Winter White,Witbier,76,16.0,2.3976334525228857
220,220,0.0579999999999999,,1989,Oberon,American Pale Wheat Ale,76,16.0,2.298951434723911
221,221,0.07,,1988,Two Hearted,American IPA,76,16.0,2.0262220900619483
222,222,0.0579999999999999,,1955,Best Brown,American Brown Ale,76,16.0,3.325972472438829
223,223,0.044,44.0,2558,Moar,English India Pale Ale (IPA),53,12.0,2.2882903567684036
224,224,0.083,,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53,16.0,1.7363697040376054
225,225,0.057,27.0,2556,Nordic Blonde,American Blonde Ale,53,12.0,0.9811881186204885
226,226,0.06,,2496,Cold Press,American Black Ale,75,12.0,0.730527826430879
227,227,0.072,87.0,2410,Harness the Winter,American IPA,75,12.0,3.9844826188520397
228,228,0.0559999999999999,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12.0,3.446190448744671
229,229,0.062,68.0,1901,Bent Hop Golden IPA,American IPA,75,12.0,3.369125512279065
230,230,0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,75,12.0,2.3182655371975356
231,231,0.05,38.0,1253,Venture Pils,German Pilsener,75,12.0,1.9189223436831904
232,232,0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.0,1.0501420827819525
233,233,0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.0,2.6955492722121437
234,234,0.078,,1158,La Frontera Premium IPA,American IPA,463,12.0,0.2341605603204422
235,235,0.047,,1157,Tejas Lager,Czech Pilsener,463,12.0,1.6988381842748457
236,236,0.064,,1156,Number 22 Porter,American Porter,463,12.0,4.500548027204458
237,237,0.0559999999999999,,1155,Big Bend Hefeweizen,Hefeweizen,463,12.0,0.6884639548374527
238,238,0.06,,1154,Terlingua Gold,American Blonde Ale,463,12.0,3.3072379414924735
239,239,0.081,17.0,2104,Aprè Shred,American Strong Ale,220,16.0,3.59768319219985
240,240,0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,0.38174647538333883
241,241,0.0409999999999999,,1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,16.0,2.3481706603180568
242,242,0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,16.0,2.821920786714574
243,243,0.07,,1003,Big Elm IPA,American IPA,477,12.0,0.5171939391703401
244,244,0.065,,1002,Gerry Dog Stout,American Stout,477,12.0,2.7244671860124603
245,245,0.06,,1001,413 Farmhouse Ale,Saison / Farmhouse Ale,477,12.0,4.462549360996791
246,246,0.08,54.0,2639,Dark Star,American Stout,8,16.0,0.7532218835052074
247,247,0.062,,2469,Ryecoe,American IPA,8,16.0,1.9809644173968062
248,248,0.06,,2586,Blueberry Blonde,Fruit / Vegetable Beer,40,12.0,0.907286768069499
249,249,0.075,60.0,2585,Galaxy IPA,American IPA,40,16.0,3.843639550699768
250,250,0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,12.0,3.0747233046446465
251,251,0.06,55.0,632,House Brand IPA,American IPA,519,12.0,2.908512533758083
252,252,0.062,65.0,1714,Big Sky IPA,American IPA,336,12.0,1.065303178943227
253,253,0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,2.3640426126525464
254,254,0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,4.23641868713856
255,255,0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,3.6951749520339208
256,256,0.072,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,2.250082097517441
257,257,0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,1.9918277629644
258,258,0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,3.9105389865826674
259,259,0.062,65.0,579,Big Sky IPA (2012),American IPA,336,12.0,4.289386272292543
260,260,0.047,,168,Summer Honey,American Blonde Ale,336,12.0,0.33507841827282225
261,261,0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,3.7629344392701487
262,262,0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.0,4.97932878298517
263,263,0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.0,0.5744428027353837
264,264,0.069,81.0,2096,Arcus IPA,American IPA,221,12.0,2.711639548068898
265,265,0.0579999999999999,38.0,2095,Wavemaker,American Amber / Red Ale,221,12.0,4.956987898095089
266,266,0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,16.0,4.744803977144957
267,267,0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.0,2.413184093105804
268,268,0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.0,1.0098179599167179
269,269,0.055,35.0,986,Morning Wood,Oatmeal Stout,444,16.0,0.13378860326575204
270,270,0.066,50.0,985,Bark Bite IPA,American IPA,444,16.0,3.047796359651568
271,271,0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.0,2.246062557400726
272,272,0.052,,1441,Blown Out Brown,American Brown Ale,407,12.0,0.04266449259963723
273,273,0.063,,1413,Single Hop Ale,American Pale Ale (APA),407,12.0,4.4189090129211595
274,274,0.054,,1411,Sawtooth Ale,American Blonde Ale,407,12.0,4.158965654871183
275,275,0.072,75.0,2620,Saucy Intruder,Rye Beer,18,16.0,1.1656963203210586
276,276,0.045,16.0,2412,Deception,American Blonde Ale,112,12.0,2.8359189548680623
277,277,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0,0.014809085388857723
278,278,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0,3.435680083769043
279,279,0.0579999999999999,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0,0.47177289565950575
280,280,0.071,83.0,1850,American India Red Ale,American Strong Ale,294,12.0,3.362729484159183
281,281,0.071,45.0,1849,American Red Porter,American Porter,294,12.0,4.6674497003356565
282,282,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,12.0,4.40053909296355
283,283,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,12.0,1.465925824632179
284,284,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.0,3.5857634474318987
285,285,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.0,4.954953667979039
286,286,0.073,,2449,Flying Sailor,Rye Beer,95,12.0,3.338622219393177
287,287,0.048,47.0,2634,Nordskye ,American IPA,12,12.0,2.223878952234272
288,288,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0,1.8080721179543886
289,289,0.052,,1953,Honey Lav,American Pale Wheat Ale,12,12.0,2.500979090315305
290,290,0.068,,1496,Coconut Brown Ale,American Brown Ale,12,12.0,4.1890499134786925
291,291,0.07,51.0,1481,51K IPA,American IPA,12,12.0,2.5680454593882263
292,292,0.055,,1480,Grand Rabbits,Cream Ale,12,12.0,4.800952632085229
293,293,0.05,,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,12.0,1.9681901323753248
